,Fecha,Número de Vendedor,Nom_Completo_Vendedor,Número de cliente,Tipo,Departamento - Clave,Departamento,Familia - Clave,Familia,Ventas Netas (Q),Costo,Ventas_USD,Costo_USD,Ganancias_USD,AA,MM,DD,Trimestre
0,2015-01-01,7,Carlos Vela,66,Real,21,Pinturas,328,TRATAMIENTO DE CONCRETO,31740.12,22046.54,4232.016,2939.538666666667,1292.4773333333328,2015,1,1,2015Q1
1,2015-01-01,5,Gonzalo Aguilar,45,Real,21,Pinturas,370,PINTURAS DECORATIVAS,2377.3,1761.35,316.97333333333336,234.84666666666666,82.1266666666667,2015,1,1,2015Q1
2,2015-01-01,8,Ernesto Pineda,75,Real,21,Pinturas,371,BARNICES ARQUITECTÓNICOS,20422.48,13189.05,2722.9973333333332,1758.54,964.4573333333333,2015,1,1,2015Q1
3,2015-01-01,6,Paulina Casanova,57,Real,21,Pinturas,372,PINTURA AUTOMOTRIZ,719.8,668.4,95.97333333333333,89.11999999999999,6.853333333333339,2015,1,1,2015Q1
4,2015-01-01,7,Carlos Vela,62,Real,21,Pinturas,376,TINTES PARA MADERA,15589.78,10835.03,2078.6373333333336,1444.6706666666666,633.9666666666669,2015,1,1,2015Q1
5,2015-01-01,2,Michelle Perez,20,Real,21,Pinturas,751,"BROCHAS, RODILLOS Y BANDEJAS",216456.68,116269.21,28860.890666666666,15502.561333333335,13358.329333333331,2015,1,1,2015Q1
6,2015-01-01,5,Gonzalo Aguilar,48,Real,21,Pinturas,755,PINTURAS ARQUITECTÓNICAS,1729340.26,1253315.52,230578.70133333333,167108.736,63469.965333333326,2015,1,1,2015Q1
7,2015-01-01,1,Juan Garza,46,Real,21,Pinturas,756,"PINTURAS INDUSTRIALES, PROTECTORAS Y MA",329611.52,238980.14,43948.20266666667,31864.018666666667,12084.184000000005,2015,1,1,2015Q1
8,2015-01-01,1,Juan Garza,14,Real,21,Pinturas,757,ACABADOS PARA MADERA,90160.44,64186.48,12021.392,8558.197333333334,3463.1946666666663,2015,1,1,2015Q1
9,2015-01-01,8,Ernesto Pineda,77,Real,21,Pinturas,758,PINTURA EN SPRAY,158072.48,84473.02,21076.33066666667,11263.069333333335,9813.261333333334,2015,1,1,2015Q1
10,2015-01-01,6,Paulina Casanova,51,Real,21,Pinturas,759,PREPARADORES DE SUPERFICIE ARQUITECTÓNI,114181.26,80830.87,15224.168,10777.449333333332,4446.718666666668,2015,1,1,2015Q1
11,2015-01-01,1,Juan Garza,74,Real,21,Pinturas,760,DECORACIÓN,10790.87,10033.57,1438.7826666666667,1337.8093333333334,100.97333333333336,2015,1,1,2015Q1
12,2015-01-01,5,Gonzalo Aguilar,50,Real,21,Pinturas,762,HERRAMIENTAS Y ACCESORIOS PARA PINTAR,255852.73,145892.06,34113.69733333334,19452.274666666668,14661.42266666667,2015,1,1,2015Q1
13,2015-01-01,1,Juan Garza,74,Real,22,Eléctricos,303,PLACAS Y MECANISMOS ELECTRICOS,170928.0,94795.76,22790.4,12639.434666666666,10150.965333333335,2015,1,1,2015Q1
14,2015-01-01,1,Juan Garza,4,Real,22,Eléctricos,949,LINTERNAS,253595.86,144972.01,33812.78133333333,19329.601333333336,14483.179999999997,2015,1,1,2015Q1
15,2015-01-01,1,Juan Garza,74,Real,22,Eléctricos,950,BATERIAS Y CARGADORES,310133.01,187987.69,41351.068,25065.025333333335,16286.042666666664,2015,1,1,2015Q1
16,2015-01-01,1,Juan Garza,68,Real,22,Eléctricos,951,ILUMINACIÓN,1941116.85,1171062.08,258815.58000000002,156141.61066666667,102673.96933333334,2015,1,1,2015Q1
17,2015-01-01,3,Sofia Gonzalez,21,Real,22,Eléctricos,952,LAMPARAS,118110.71,62182.14,15748.094666666668,8290.952,7457.142666666668,2015,1,1,2015Q1
18,2015-01-01,2,Michelle Perez,11,Real,22,Eléctricos,953,EXTENSIONES Y PROTECTORES DE CORRIENTE,412632.49,225308.93,55017.66533333333,30041.190666666665,24976.474666666665,2015,1,1,2015Q1
19,2015-01-01,1,Juan Garza,6,Real,22,Eléctricos,954,CABLES/ALAMBRES,108779.77,64191.4,14503.969333333334,8558.853333333334,5945.116,2015,1,1,2015Q1
20,2015-01-01,6,Paulina Casanova,58,Real,22,Eléctricos,955,ACCESORIOS PARA CABLES/ALAMBRES,103799.65,44783.45,13839.953333333333,5971.126666666666,7868.826666666667,2015,1,1,2015Q1
